plan_id,status,output_visible_cycles,final_ack_cycles,quiescent_cycles,payload_router_byte_hops,full_protocol_flit_hops,dependency_only_DAG_ticks
p0433,valid,2636.4444444444443,2738.4444444444443,2754.4444444444443,124928,5120,54900
p0434,valid,2558.8888888888887,2660.8888888888887,2676.8888888888887,124928,5120,53912
p0435,valid,2668.222222222222,2770.222222222222,2786.222222222222,124928,5120,56052
p0436,valid,2725.8888888888887,2827.8888888888887,2843.8888888888887,124928,5120,55064
p0437,valid,2699.1111111111113,2801.1111111111113,2817.1111111111113,124928,5120,57204
p0438,valid,2500.8888888888887,2638.8888888888887,2654.8888888888887,112640,4736,51464
p0439,valid,2599.1111111111113,2737.1111111111113,2753.1111111111113,112640,4736,53604
p0440,valid,2522.8888888888887,2660.8888888888887,2676.8888888888887,112640,4736,52616
p0441,valid,2632.222222222222,2770.222222222222,2786.222222222222,112640,4736,54756
p0442,valid,2689.8888888888887,2827.8888888888887,2843.8888888888887,112640,4736,53768
p0443,valid,2663.1111111111113,2801.1111111111113,2817.1111111111113,112640,4736,55908
p0444,valid,2396.777777777778,2498.777777777778,2514.777777777778,75776,3584,47576
p0445,valid,2739.777777777778,2841.777777777778,2857.777777777778,75776,3584,49716
p0446,valid,2396.777777777778,2498.777777777778,2514.777777777778,75776,3584,48728
p0447,valid,2739.777777777778,2841.777777777778,2857.777777777778,75776,3584,50868
p0448,valid,2396.777777777778,2498.777777777778,2514.777777777778,75776,3584,49880
p0449,valid,2739.777777777778,2841.777777777778,2857.777777777778,75776,3584,52020
p0450,valid,2362.1111111111113,2500.1111111111113,2516.1111111111113,63488,3200,46280
p0451,valid,2619.777777777778,2757.777777777778,2773.777777777778,63488,3200,48420
p0452,valid,2362.1111111111113,2500.1111111111113,2516.1111111111113,63488,3200,47432
p0453,valid,2619.777777777778,2757.777777777778,2773.777777777778,63488,3200,49572
p0454,valid,2362.1111111111113,2500.1111111111113,2516.1111111111113,63488,3200,48584
p0455,valid,2619.777777777778,2757.777777777778,2773.777777777778,63488,3200,50724
p0456,valid,2525.0,2627.0,2643.0,182272,6912,52760
p0457,valid,2783.0,2885.0,2901.0,182272,6912,54900
p0458,valid,2525.0,2627.0,2643.0,182272,6912,53912
p0459,valid,2783.0,2885.0,2901.0,182272,6912,56052
p0460,valid,2525.0,2627.0,2643.0,182272,6912,55064
p0461,valid,2783.0,2885.0,2901.0,182272,6912,57204
p0462,valid,2489.0,2627.0,2643.0,169984,6528,51464
p0463,valid,2745.6666666666665,2883.6666666666665,2899.6666666666665,169984,6528,53604
p0464,valid,2489.0,2627.0,2643.0,169984,6528,52616
p0465,valid,2745.6666666666665,2883.6666666666665,2899.6666666666665,169984,6528,54756
p0466,valid,2489.0,2627.0,2643.0,169984,6528,53768
p0467,valid,2745.6666666666665,2883.6666666666665,2899.6666666666665,169984,6528,55908
p0468,valid,2571.4444444444443,2673.4444444444443,2689.4444444444443,133120,5376,47576
p0469,valid,2666.1111111111113,2768.1111111111113,2784.1111111111113,133120,5376,49716
p0470,valid,2571.4444444444443,2673.4444444444443,2689.4444444444443,133120,5376,48728
p0471,valid,2666.1111111111113,2768.1111111111113,2784.1111111111113,133120,5376,50868
p0472,valid,2571.4444444444443,2673.4444444444443,2689.4444444444443,133120,5376,49880
p0473,valid,2666.1111111111113,2768.1111111111113,2784.1111111111113,133120,5376,52020
p0474,valid,2535.4444444444443,2673.4444444444443,2689.4444444444443,120832,4992,46280
p0475,valid,2630.1111111111113,2768.1111111111113,2784.1111111111113,120832,4992,48420
p0476,valid,2535.4444444444443,2673.4444444444443,2689.4444444444443,120832,4992,47432
p0477,valid,2630.1111111111113,2768.1111111111113,2784.1111111111113,120832,4992,49572
p0478,valid,2535.4444444444443,2673.4444444444443,2689.4444444444443,120832,4992,48584
