config,group,case,target,mode,policy,n,latency_mean,latency_p95,paired_reduction_pct,ci95_low,ci95_high
flux2_klein4b_single_scaled__one_operand_slot__service,hardware_sensitivity,flux2_klein4b_single_scaled,one_operand_slot,service,B_order0,32,10484.509790370359,11441.291761274031,-0.009566100770827908,-0.009746277337518016,-0.009385924204137799
flux2_klein4b_single_scaled__one_operand_slot__service,hardware_sensitivity,flux2_klein4b_single_scaled,one_operand_slot,service,B_order2,32,10528.509790370359,11485.291761274031,-0.4304745346872559,-0.43858248018831075,-0.422366589186201
flux2_klein4b_single_scaled__four_operand_slots__service,hardware_sensitivity,flux2_klein4b_single_scaled,four_operand_slots,service,B_order0,32,10474.509790370359,11431.291761274033,0.0,0.0,0.0
flux2_klein4b_single_scaled__four_operand_slots__service,hardware_sensitivity,flux2_klein4b_single_scaled,four_operand_slots,service,B_order2,32,10518.509790370359,11475.291761274033,-0.4212721669783044,-0.4292136415447776,-0.4133306924118312
flux2_klein4b_single_scaled__sram2MiB__service,hardware_sensitivity,flux2_klein4b_single_scaled,sram2MiB,service,B_order0,32,10474.509790370359,11431.291761274035,0.0,0.0,0.0
flux2_klein4b_single_scaled__sram2MiB__service,hardware_sensitivity,flux2_klein4b_single_scaled,sram2MiB,service,B_order2,32,10518.509790370359,11475.291761274035,-0.42127216697830494,-0.42921364154477826,-0.4133306924118316
flux2_klein4b_single_scaled__sram8MiB__service,hardware_sensitivity,flux2_klein4b_single_scaled,sram8MiB,service,B_order0,32,10474.509790370359,11431.291761274035,0.0,0.0,0.0
flux2_klein4b_single_scaled__sram8MiB__service,hardware_sensitivity,flux2_klein4b_single_scaled,sram8MiB,service,B_order2,32,10518.509790370359,11475.291761274035,-0.42127216697830494,-0.42921364154477826,-0.4133306924118316
qwen35_full_decode_attention_fused__two_core__deterministic,fusion_conditioning_sensitivity,qwen35_full_decode_attention_fused,two_core,deterministic,B_order0,32,7882.0,7882.0,0.0,0.0,0.0
qwen35_full_decode_attention_fused__two_core__deterministic,fusion_conditioning_sensitivity,qwen35_full_decode_attention_fused,two_core,deterministic,B_order2,32,7912.0,7912.0,-0.3806140573458513,-0.3806140573458513,-0.3806140573458513
qwen35_full_decode_attention_fused__two_core__service,fusion_conditioning_sensitivity,qwen35_full_decode_attention_fused,two_core,service,B_order0,32,8312.46860001927,9673.745089514572,0.00047676655341772175,-0.0004576958912785179,0.0014112289981139613
qwen35_full_decode_attention_fused__two_core__service,fusion_conditioning_sensitivity,qwen35_full_decode_attention_fused,two_core,service,B_order2,32,8343.21860001927,9703.745089514572,-0.3742911641965876,-0.39361974670937705,-0.35496258168379813
qwen35_full_decode_attention_fused__two_core__calendar,fusion_conditioning_sensitivity,qwen35_full_decode_attention_fused,two_core,calendar,B_order0,32,11937.899578869134,11965.000000000004,-0.3952636925691272,-0.5054601234796381,-0.28506726165861623
qwen35_full_decode_attention_fused__two_core__calendar,fusion_conditioning_sensitivity,qwen35_full_decode_attention_fused,two_core,calendar,B_order2,32,11974.421264261107,12030.561641894294,-0.7022353750398297,-0.8223970210360809,-0.5820737290435785
qwen35_full_decode_attention_fused__two_core__combined,fusion_conditioning_sensitivity,qwen35_full_decode_attention_fused,two_core,combined,B_order0,32,12603.44636148617,14858.495089514572,0.0,0.0,0.0
qwen35_full_decode_attention_fused__two_core__combined,fusion_conditioning_sensitivity,qwen35_full_decode_attention_fused,two_core,combined,B_order2,32,12635.41361284186,14880.995089514572,-0.2585040972152258,-0.30085015931228604,-0.21615803511816561
